codigocarrera;nombrecarrera;Metas
5;ADMINISTRACION DE EMPRESAS;10
500;ARTE DRAMATICO;20
131;ARTES ESCENICAS;30
132;ARTES PLASTICAS;40
564;BIOINGENIERIA;50
122;BIOLOGIA;60
13;CURSO BASICO DE NIVELACION;70
560;CURSO BASICO DE NIVELACION EN INGENIERIA Y CIENCIAS AMBIENTALES;80
554;CURSO BASICO EN MUSICA;90
6;DEPARTAMENTO DE HUMANIDADES;100
595;DERECHO;110
129;DISEÑO INDUSTRIAL;120
8;ENFERMERIA;130
427;FILOSOFIA;140
417;FISICA;150
130;FORMACION MUSICAL;160
123;ING. SISTEMAS DIURNA;170
124;ING. SISTEMAS NOCTURNA;180
125;INGENIERIA AMBIENTAL;190
118;INGENIERIA ELECTRONICA;200
119;INGENIERIA ELECTRONICA N;210
126;INGENIERIA INDUSTRIAL;220
380;INSTRUMENTACION QUIRURGICA;230
93;LICENCIATURA EN EDUCACION BILINGUE CON ENFASIS EN LA ENSEÑANZA DEL INGLES;240
90;LICENCIATURA EN PEDAGOGIA INFANTIL;250
7;MATEMATICAS;260
120;MATEMATICAS APLICADAS;270
10;MEDICINA;280
11;ODONTOLOGIA;290
375;OPTOMETRIA;300
133;PSICOLOGIA;310
134;PSICOLOGIA-NOCTURNA;320
600;TECNOLOGIA EN DISEÑO Y DESARROLLO DE PRODUCTO ARTESANAL;330
605;TECNOLOGIA EN GESTION DE PRODUCTOS Y EMPRESAS DE ARTESANIAS;340
